name,role,Latitude ,Longitude,allowed_load_types,default_units_loaded,notes
SECTION 5,pickup,35.5215,-119.083,crude,150,
SECTION 7 Y,pickup,35.8486,-120.061,crude,150,
SECTION 8 LEASE,pickup,36.1131,-120.378,crude,150,
SESNON LEASE,pickup,35.4984,-119.084,crude,150,
SESNON PETRO CAPITAL,pickup,35.4968,-119.092,crude,150,
SEVIER LEASE - UYBC LLC - TRAVIS GODDARD,pickup,35.2088,-119.655,crude,150,
SHALE STATION,pickup,35.2161,-119.565,crude,150,
SHANNON LEASE,pickup,35.8002,-120.032,crude,150,
SHEEHAN LEASE,pickup,35.0505,-119.358,crude,150,
SHELL LEASE,pickup,35.7448,-119.845,crude,150,
SMITH - HATHAWAY,pickup,35.7232,-120,crude,150,
SMV 16-A LEASE,pickup,34.9439,-120.573,crude,150,
SMVRR YARD,pickup,34.9357,-120.464,crude,150,
SNOOK & WELLS LEASE,pickup,35.0603,-119.394,crude,150,
SNOW LEASE - TIGRE NERA OIL,pickup,,,crude,150,
SOCAL GAS - PLAYA DEL REY,pickup,33.9642,-118.438,crude,150,
SOLADINO,pickup,34.8496,-120.505,crude,150,
SON CRAIL,pickup,35.056,-119.352,crude,150,
SOUTH MOUNTAIN - YALE RICHARDSON,pickup,,,crude,150,
SOUTH ROSEDALE RANCH LEASE,pickup,35.4369,-119.15,crude,150,
SOUTH SALINAS - HAMES VALLEY TRIO,pickup,35.8259,-120.83,crude,150,
